timestamp_ms,effect,source,sentence_idx,token
314,effect_heartbeat.wav,ml,1,it
3768,effect_train.wav,ml,1,the
4396,effect_ominous_silence.wav,ml,1,in
7791,effect_heartbeat.wav,ml,2,what
10090,effect_ominous_silence.wav,ml,2,fear
10856,effect_paper.wav,ml,2,holmes
12432,effect_heartbeat.wav,ml,4,she
13808,effect_train.wav,ml,4,as
16562,effect_heartbeat.wav,ml,4,that
26544,effect_heartbeat.wav,ml,5,her
28565,effect_dog_barking.wav,ml,5,of
30586,effect_heartbeat.wav,ml,5,but
35976,effect_heartbeat.wav,ml,6,sherlock
36358,effect_paper.wav,ml,6,holmes
38652,effect_dog_barking.wav,ml,6,of
42060,effect_heartbeat.wav,ml,7,you
43106,effect_ominous_silence.wav,ml,7,fear
44501,effect_paper.wav,ml,7,he
47938,effect_heartbeat.wav,ml,8,we
52020,effect_ominous_silence.wav,ml,9,in
52288,effect_heartbeat.wav,ml,9,by
52556,effect_train.wav,ml,9,train
57361,effect_heartbeat.wav,ml,10,no
58826,effect_train.wav,ml,10,the
59705,effect_dog_barking.wav,ml,10,of
62928,effect_heartbeat.wav,ml,11,you
64162,effect_train.wav,ml,11,early
66014,effect_dog_barking.wav,ml,11,a
71880,effect_train.wav,ml,12,the
72295,effect_heartbeat.wav,ml,12,lady
73126,effect_dog_barking.wav,ml,12,a
77608,effect_heartbeat.wav,ml,13,there
81216,effect_paper.wav,ml,13,he
81872,effect_heartbeat.wav,ml,13,smiling
82534,effect_train.wav,ml,14,the
83538,effect_dog_barking.wav,ml,14,of
85880,effect_ominous_silence.wav,ml,14,in
87888,effect_train.wav,ml,15,the
88377,effect_heartbeat.wav,ml,15,marks
91744,effect_dog_barking.wav,ml,16,a
92590,effect_heartbeat.wav,ml,16,cart
93998,effect_ominous_silence.wav,ml,16,in
104788,effect_heartbeat.wav,ml,17,i
105516,effect_dog_barking.wav,ml,17,from
108794,effect_heartbeat.wav,ml,17,past
112800,effect_heartbeat.wav,ml,18,sir
117103,effect_heartbeat.wav,ml,18,go
120166,effect_train.wav,ml,19,to
121436,effect_heartbeat.wav,ml,19,none
122389,effect_ominous_silence.wav,ml,19,only
128424,effect_heartbeat.wav,ml,20,i
129053,effect_train.wav,ml,20,heard
129367,effect_dog_barking.wav,ml,20,of
137232,effect_heartbeat.wav,ml,21,it
137533,effect_ominous_silence.wav,ml,21,was
137834,effect_dog_barking.wav,ml,21,from
141536,effect_heartbeat.wav,ml,22,you
145356,effect_dog_barking.wav,ml,22,at
145675,effect_heartbeat.wav,ml,22,least
149496,effect_dog_barking.wav,ml,23,at
149798,effect_heartbeat.wav,ml,23,present
151010,effect_train.wav,ml,23,out
163728,effect_paper.wav,ml,24,holmes
164041,effect_heartbeat.wav,ml,24,turned
164354,effect_train.wav,ml,24,to
170608,effect_heartbeat.wav,ml,25,farintosh
171824,effect_paper.wav,ml,25,he
174126,effect_train.wav,ml,26,the
175125,effect_heartbeat.wav,ml,26,it
175458,effect_ominous_silence.wav,ml,26,was
179162,effect_heartbeat.wav,ml,27,your
181095,effect_ominous_silence.wav,ml,28,only
183365,effect_heartbeat.wav,ml,28,be
183932,effect_train.wav,ml,28,to
188472,effect_train.wav,ml,29,as
189129,effect_heartbeat.wav,ml,29,reward
193074,effect_dog_barking.wav,ml,29,at
199320,effect_heartbeat.wav,ml,30,and
201525,effect_ominous_silence.wav,ml,30,lay
203416,effect_heartbeat.wav,ml,30,help
